,Season,Week,Team,Defense
390,2020.0,3,MIA,JAX
391,2020.0,3,TB,DEN
392,2020.0,3,NO,GB
393,2020.0,3,ARI,DET
394,2020.0,3,PHI,CIN
395,2020.0,3,CIN,PHI
396,2020.0,3,MIN,TEN
397,2020.0,3,PIT,HOU
398,2020.0,3,DET,ARI
399,2020.0,3,SF,NYG
400,2020.0,3,CHI,ATL
401,2020.0,3,HOU,PIT
402,2020.0,3,LV,NE
403,2020.0,3,LAC,CAR
404,2020.0,3,CAR,LAC
405,2020.0,3,CLE,WAS
406,2020.0,3,BAL,KC
407,2020.0,3,IND,NYJ
408,2020.0,3,TEN,MIN
409,2020.0,3,ATL,CHI
410,2020.0,3,NE,LV
411,2020.0,3,DEN,TB
412,2020.0,3,JAX,MIA
413,2020.0,3,WAS,CLE
414,2020.0,3,NYG,SF
415,2020.0,3,NYJ,IND
416,2020.0,2,DAL,ATL
417,2020.0,2,NE,SEA
418,2020.0,2,BUF,MIA
419,2020.0,2,SEA,NE
420,2020.0,2,ARI,WAS
421,2020.0,2,ATL,DAL
422,2020.0,2,KC,LAC
423,2020.0,2,TEN,JAX
424,2020.0,2,CIN,CLE
425,2020.0,2,MIA,BUF
426,2020.0,2,LAR,PHI
427,2020.0,2,JAX,TEN
428,2020.0,2,LAC,KC
429,2020.0,2,LV,NO
430,2020.0,2,DEN,PIT
431,2020.0,2,PIT,DEN
432,2020.0,2,GB,DET
433,2020.0,2,BAL,HOU
434,2020.0,2,DET,GB
435,2020.0,2,CLE,CIN
436,2020.0,2,HOU,BAL
437,2020.0,2,NO,LV
438,2020.0,2,SF,NYJ
439,2020.0,2,CHI,NYG
440,2020.0,2,PHI,LAR
441,2020.0,2,NYJ,SF
442,2020.0,2,WAS,ARI
443,2020.0,2,IND,MIN
444,2020.0,2,TB,CAR
445,2020.0,2,CAR,TB
446,2020.0,2,NYG,CHI
447,2020.0,2,MIN,IND
448,2020.0,1,SEA,ATL
449,2020.0,1,GB,MIN
450,2020.0,1,BUF,NYJ
451,2020.0,1,BAL,CLE
452,2020.0,1,ARI,SF
453,2020.0,1,NE,MIA
454,2020.0,1,CHI,DET
455,2020.0,1,ATL,SEA
456,2020.0,1,PIT,NYG
457,2020.0,1,MIN,GB
458,2020.0,1,HOU,KC
459,2020.0,1,JAX,IND
460,2020.0,1,TB,NO
461,2020.0,1,KC,HOU
462,2020.0,1,TEN,DEN
463,2020.0,1,CAR,LV
464,2020.0,1,SF,ARI
465,2020.0,1,DAL,LAR
466,2020.0,1,NYG,PIT
467,2020.0,1,CIN,LAC
468,2020.0,1,DET,CHI
469,2020.0,1,IND,JAX
470,2020.0,1,NO,TB
471,2020.0,1,LV,CAR
472,2020.0,1,DEN,TEN
473,2020.0,1,PHI,WAS
474,2020.0,1,WAS,PHI
475,2020.0,1,NYJ,BUF
476,2020.0,1,LAR,DAL
477,2020.0,1,CLE,BAL
478,2020.0,1,LAC,CIN
479,2020.0,1,MIA,NE
480,2019.0,17,DAL,WAS
481,2019.0,17,LAR,ARI
482,2019.0,17,JAX,IND
483,2019.0,17,MIA,NE
484,2019.0,17,NO,CAR
485,2019.0,17,SEA,SF
486,2019.0,17,CLE,CIN
487,2019.0,17,LV,DEN
488,2019.0,17,GB,DET
489,2019.0,17,TEN,HOU
490,2019.0,17,PHI,NYG
491,2019.0,17,HOU,TEN
492,2019.0,17,CIN,CLE
493,2019.0,17,LAC,KC
494,2019.0,17,NE,MIA
495,2019.0,17,NYG,PHI
496,2019.0,17,TB,ATL
497,2019.0,17,ATL,TB
498,2019.0,17,ARI,LAR
499,2019.0,17,DEN,LV
500,2019.0,17,DET,GB
501,2019.0,17,SF,SEA
502,2019.0,17,KC,LAC
503,2019.0,17,CAR,NO
504,2019.0,17,WAS,DAL
505,2019.0,17,NYJ,BUF
506,2019.0,17,BAL,PIT
507,2019.0,17,CHI,MIN
508,2019.0,17,IND,JAX
509,2019.0,17,BUF,NYJ
510,2019.0,17,PIT,BAL
511,2019.0,17,MIN,CHI
512,2019.0,16,NYG,WAS
513,2019.0,16,CIN,MIA
514,2019.0,16,MIA,CIN
515,2019.0,16,BAL,CLE
516,2019.0,16,KC,CHI
517,2019.0,16,TEN,NO
518,2019.0,16,NO,TEN
519,2019.0,16,LV,LAC
520,2019.0,16,BUF,NE
521,2019.0,16,LAR,SF
522,2019.0,16,PHI,DAL
523,2019.0,16,NE,BUF
524,2019.0,16,WAS,NYG
525,2019.0,16,ATL,JAX
526,2019.0,16,JAX,ATL
527,2019.0,16,IND,CAR
528,2019.0,16,CLE,BAL
529,2019.0,16,ARI,SEA
530,2019.0,16,DEN,DET
531,2019.0,16,DAL,PHI
532,2019.0,16,LAC,LV
533,2019.0,16,TB,HOU
534,2019.0,16,SEA,ARI
535,2019.0,16,SF,LAR
536,2019.0,16,NYJ,PIT
537,2019.0,16,PIT,NYJ
538,2019.0,16,HOU,TB
539,2019.0,16,DET,DEN
540,2019.0,16,GB,MIN
541,2019.0,16,CHI,KC
542,2019.0,16,MIN,GB
543,2019.0,16,CAR,IND
544,2019.0,15,BAL,NYJ
545,2019.0,15,TB,DET
546,2019.0,15,NO,IND
547,2019.0,15,TEN,HOU
548,2019.0,15,KC,DEN
549,2019.0,15,PHI,WAS
550,2019.0,15,MIA,NYG
551,2019.0,15,SEA,CAR
552,2019.0,15,ATL,SF
553,2019.0,15,WAS,PHI
554,2019.0,15,JAX,LV
555,2019.0,15,DAL,LAR
556,2019.0,15,LAR,DAL
557,2019.0,15,CLE,ARI
558,2019.0,15,HOU,TEN
559,2019.0,15,BUF,PIT
560,2019.0,15,ARI,CLE
561,2019.0,15,CHI,GB
562,2019.0,15,LV,JAX
563,2019.0,15,NYJ,BAL
564,2019.0,15,GB,CHI
565,2019.0,15,NYG,MIA
566,2019.0,15,NE,CIN
567,2019.0,15,SF,ATL
568,2019.0,15,MIN,LAC
569,2019.0,15,CAR,SEA
570,2019.0,15,DET,TB
571,2019.0,15,LAC,MIN
572,2019.0,15,IND,NO
573,2019.0,15,DEN,KC
574,2019.0,15,PIT,BUF
575,2019.0,15,CIN,NE
576,2019.0,14,NO,SF
577,2019.0,14,TB,IND
578,2019.0,14,CHI,DAL
579,2019.0,14,HOU,DEN
580,2019.0,14,SF,NO
581,2019.0,14,TEN,LV
582,2019.0,14,LAC,JAX
583,2019.0,14,DEN,HOU
584,2019.0,14,IND,TB
585,2019.0,14,ATL,CAR
586,2019.0,14,LV,TEN
587,2019.0,14,PHI,NYG
588,2019.0,14,BAL,BUF
589,2019.0,14,CAR,ATL
590,2019.0,14,DAL,CHI
591,2019.0,14,NYJ,MIA
592,2019.0,14,LAR,SEA
593,2019.0,14,NYG,PHI
594,2019.0,14,MIA,NYJ
595,2019.0,14,KC,NE
596,2019.0,14,MIN,DET
597,2019.0,14,JAX,LAC
598,2019.0,14,PIT,ARI
599,2019.0,14,GB,WAS
600,2019.0,14,CLE,CIN
601,2019.0,14,NE,KC
602,2019.0,14,BUF,BAL
603,2019.0,14,SEA,LAR
604,2019.0,14,ARI,PIT
605,2019.0,14,CIN,CLE
606,2019.0,14,WAS,GB
607,2019.0,14,DET,MIN
608,2019.0,13,GB,NYG
609,2019.0,13,HOU,NE
610,2019.0,13,MIA,PHI
611,2019.0,13,LAR,ARI
612,2019.0,13,PHI,MIA
613,2019.0,13,NE,HOU
614,2019.0,13,CHI,DET
615,2019.0,13,BUF,DAL
616,2019.0,13,CAR,WAS
617,2019.0,13,DAL,BUF
618,2019.0,13,BAL,SF
619,2019.0,13,KC,LV
620,2019.0,13,DET,CHI
621,2019.0,13,MIN,SEA
622,2019.0,13,SEA,MIN
623,2019.0,13,LAC,DEN
624,2019.0,13,ATL,NO
625,2019.0,13,NO,ATL
626,2019.0,13,TEN,IND
627,2019.0,13,CIN,NYJ
628,2019.0,13,ARI,LAR
629,2019.0,13,DEN,LAC
630,2019.0,13,IND,TEN
631,2019.0,13,TB,JAX
632,2019.0,13,JAX,TB
633,2019.0,13,PIT,CLE
634,2019.0,13,NYJ,CIN
635,2019.0,13,LV,KC
636,2019.0,13,SF,BAL
637,2019.0,13,NYG,GB
638,2019.0,13,CLE,PIT
639,2019.0,13,WAS,CAR
640,2019.0,12,BAL,LAR
641,2019.0,12,TEN,JAX
642,2019.0,12,NYJ,LV
643,2019.0,12,TB,ATL
644,2019.0,12,CLE,MIA
645,2019.0,12,CAR,NO
646,2019.0,12,MIA,CLE
647,2019.0,12,NO,CAR
648,2019.0,12,BUF,DEN
649,2019.0,12,CHI,NYG
650,2019.0,12,HOU,IND
651,2019.0,12,SF,GB
652,2019.0,12,JAX,TEN
653,2019.0,12,NYG,CHI
654,2019.0,12,IND,HOU
655,2019.0,12,DET,WAS
656,2019.0,12,NE,DAL
657,2019.0,12,CIN,PIT
658,2019.0,12,SEA,PHI
659,2019.0,12,GB,SF
660,2019.0,12,PHI,SEA
661,2019.0,12,PIT,CIN
662,2019.0,12,ATL,TB
663,2019.0,12,DAL,NE
664,2019.0,12,WAS,DET
665,2019.0,12,LAR,BAL
666,2019.0,12,LV,NYJ
667,2019.0,12,DEN,BUF
668,2019.0,11,BUF,MIA
669,2019.0,11,BAL,HOU
670,2019.0,11,DAL,DET
671,2019.0,11,SF,ARI
672,2019.0,11,DET,DAL
673,2019.0,11,ARI,SF
674,2019.0,11,NYJ,WAS
675,2019.0,11,MIN,DEN
676,2019.0,11,CLE,PIT
677,2019.0,11,NO,TB
678,2019.0,11,LV,CIN
679,2019.0,11,JAX,IND
680,2019.0,11,WAS,NYJ
681,2019.0,11,ATL,CAR
682,2019.0,11,KC,LAC
683,2019.0,11,IND,JAX
684,2019.0,11,TB,NO
685,2019.0,11,DEN,MIN
686,2019.0,11,MIA,BUF
687,2019.0,11,PHI,NE
688,2019.0,11,LAC,KC
689,2019.0,11,CHI,LAR
690,2019.0,11,NE,PHI
691,2019.0,11,PIT,CLE
692,2019.0,11,CAR,ATL
693,2019.0,11,CIN,LV
694,2019.0,11,LAR,CHI
695,2019.0,11,HOU,BAL
696,2019.0,10,BAL,CIN
697,2019.0,10,NYG,NYJ
698,2019.0,10,KC,TEN
699,2019.0,10,ARI,TB
700,2019.0,10,DAL,MIN
701,2019.0,10,BUF,CLE
702,2019.0,10,NYJ,NYG
703,2019.0,10,CHI,DET
704,2019.0,10,MIN,DAL
705,2019.0,10,TEN,KC
706,2019.0,10,TB,ARI
707,2019.0,10,CLE,BUF
708,2019.0,10,DET,CHI
709,2019.0,10,SEA,SF
710,2019.0,10,ATL,NO
711,2019.0,10,PIT,LAR
712,2019.0,10,CAR,GB
713,2019.0,10,LV,LAC
714,2019.0,10,MIA,IND
715,2019.0,10,NO,ATL
716,2019.0,10,LAC,LV
717,2019.0,10,GB,CAR
718,2019.0,10,SF,SEA
719,2019.0,10,CIN,BAL
720,2019.0,10,IND,MIA
721,2019.0,10,LAR,PIT
722,2019.0,9,SEA,TB
723,2019.0,9,SF,ARI
724,2019.0,9,BAL,NE
725,2019.0,9,DET,LV
726,2019.0,9,MIA,NYJ
727,2019.0,9,TEN,CAR
728,2019.0,9,ARI,SF
729,2019.0,9,DAL,NYG
730,2019.0,9,MIN,KC
731,2019.0,9,TB,SEA
732,2019.0,9,HOU,JAX
733,2019.0,9,LV,DET
734,2019.0,9,BUF,WAS
735,2019.0,9,CLE,DEN
736,2019.0,9,DEN,CLE
737,2019.0,9,IND,PIT
738,2019.0,9,PHI,CHI
739,2019.0,9,KC,MIN
740,2019.0,9,CAR,TEN
741,2019.0,9,NE,BAL
742,2019.0,9,GB,LAC
743,2019.0,9,NYJ,MIA
744,2019.0,9,NYG,DAL
745,2019.0,9,LAC,GB
746,2019.0,9,PIT,IND
747,2019.0,9,JAX,HOU
748,2019.0,9,WAS,BUF
749,2019.0,9,CHI,PHI
750,2019.0,8,NYG,DET
751,2019.0,8,HOU,LV
752,2019.0,8,GB,KC
753,2019.0,8,NO,ARI
754,2019.0,8,JAX,NYJ
755,2019.0,8,LV,HOU
756,2019.0,8,DET,NYG
757,2019.0,8,LAR,CIN
758,2019.0,8,ATL,SEA
759,2019.0,8,TEN,TB
760,2019.0,8,TB,TEN
761,2019.0,8,KC,GB
762,2019.0,8,NE,CLE
763,2019.0,8,BUF,PHI
764,2019.0,8,CIN,LAR
765,2019.0,8,PIT,MIA
766,2019.0,8,SEA,ATL
767,2019.0,8,PHI,BUF
768,2019.0,8,SF,CAR
769,2019.0,8,NYJ,JAX
770,2019.0,8,MIN,WAS
771,2019.0,8,CLE,NE
772,2019.0,8,MIA,PIT
773,2019.0,8,ARI,NO
774,2019.0,8,LAC,CHI
775,2019.0,8,IND,DEN
776,2019.0,8,DEN,IND
777,2019.0,8,CHI,LAC
778,2019.0,8,WAS,MIN
779,2019.0,8,CAR,SF
780,2019.0,7,GB,LV
781,2019.0,7,MIN,DET
782,2019.0,7,DET,MIN
783,2019.0,7,IND,HOU
784,2019.0,7,LAR,ATL
785,2019.0,7,BAL,SEA
786,2019.0,7,BUF,MIA
787,2019.0,7,LAC,TEN
788,2019.0,7,JAX,CIN
789,2019.0,7,MIA,BUF
790,2019.0,7,DAL,PHI
791,2019.0,7,CHI,NO
792,2019.0,7,NO,CHI
793,2019.0,7,TEN,LAC
794,2019.0,7,CIN,JAX
795,2019.0,7,LV,GB
796,2019.0,7,HOU,IND
797,2019.0,7,SEA,BAL
798,2019.0,7,NE,NYJ
799,2019.0,7,NYG,ARI
800,2019.0,7,KC,DEN
801,2019.0,7,ARI,NYG
802,2019.0,7,PHI,DAL
803,2019.0,7,DEN,KC
804,2019.0,7,ATL,LAR
805,2019.0,7,SF,WAS
806,2019.0,7,WAS,SF
807,2019.0,7,NYJ,NE
808,2019.0,6,ATL,ARI
809,2019.0,6,BAL,CIN
810,2019.0,6,HOU,KC
811,2019.0,6,SEA,CLE
812,2019.0,6,ARI,ATL
813,2019.0,6,MIN,PHI
814,2019.0,6,NE,NYG
815,2019.0,6,PHI,MIN
816,2019.0,6,NYJ,DAL
817,2019.0,6,CLE,SEA
818,2019.0,6,KC,HOU
819,2019.0,6,GB,DET
820,2019.0,6,DAL,NYJ
821,2019.0,6,CAR,TB
822,2019.0,6,WAS,MIA
823,2019.0,6,LAC,PIT
824,2019.0,6,CIN,BAL
825,2019.0,6,NO,JAX
826,2019.0,6,SF,LAR
827,2019.0,6,TB,CAR
828,2019.0,6,DET,GB
829,2019.0,6,MIA,WAS
830,2019.0,6,PIT,LAC
831,2019.0,6,NYG,NE
832,2019.0,6,DEN,TEN
833,2019.0,6,JAX,NO
834,2019.0,6,TEN,DEN
835,2019.0,6,LAR,SF
836,2019.0,5,HOU,ATL
837,2019.0,5,ATL,HOU
838,2019.0,5,SEA,LAR
839,2019.0,5,NO,TB
840,2019.0,5,ARI,CIN
841,2019.0,5,NE,WAS
842,2019.0,5,DAL,GB
843,2019.0,5,JAX,CAR
844,2019.0,5,MIN,NYG
